gene_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
1110008P14Rik,262,359,334,230,267,226,223,389,438,272,721,309
Olfr1129,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1128,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1121,0,0,0,0,0,0,0,0,0,0,0,0
Mir219b,0,0,0,0,0,0,0,0,0,0,0,0
Scg5,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1122,0,0,0,0,0,0,0,0,0,0,0,0
Chp1,3950,4757,4107,3028,3544,3374,3799,3744,3827,2984,6263,4571
Olfr1124,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1126,0,0,0,0,0,0,0,0,0,0,0,0
Gm6710,134,0,0,0,232,0,134,0,168,0,0,680
Ltk,0,0,0,0,0,0,0,0,0,0,0,0
Tubgcp4,926,1060,863,625,765,706,902,940,1342,677,1125,980
Prdx6b,560,650,488,344,467,395,402,555,525,528,1100,583
Zbtb6,310,363,279,193,275,199,224,286,354,236,453,322
Myef2,689,920,638,567,600,596,737,745,905,520,1091,706
Qsox2,817,888,759,618,647,650,676,727,733,556,1121,862
Olfr1008,0,0,0,0,0,0,0,0,0,0,0,0
Mapk8ip1,1232,1288,1215,905,1060,942,971,988,1160,776,1244,1306
5031426D15Rik,11,9,8,37,40,8,35,1,17,15,44,9
Slx4ip,26,65,60,47,42,44,37,70,79,40,97,82
Mir6364,0,0,0,0,0,0,0,0,0,0,0,0
Frmd5,32,92,71,45,22,31,43,70,138,81,120,58
Pak6,0,0,0,0,0,0,0,0,0,0,0,0
Pak7,0,0,0,0,0,0,0,0,0,0,0,0
Dgkz,1119,1141,1021,934,1079,846,979,1127,1346,822,1979,1066
Ift52,755,893,759,538,612,571,606,728,870,569,1159,870
6430503K07Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam83d,3,4,0,0,7,0,4,57,185,73,81,6
Prr5l,858,1135,977,714,486,617,472,1048,862,633,1867,1217
Olfr1019,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1018,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1015,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1014,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1016,0,0,0,0,0,0,0,0,0,0,0,0
C330006A16Rik,1765,1697,555,1151,1412,1148,1354,1387,1653,996,1989,1714
Olfr1010,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1013,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1012,0,0,0,0,0,0,0,0,0,0,0,0
Tti1,711,745,578,476,576,491,527,677,804,433,1040,716
Pla2r1,5849,6420,5180,3798,4746,3660,4774,3770,3605,3094,6293,5621
Olfr1006,0,0,0,0,0,0,0,0,0,0,0,0
Erv3,0,0,0,0,0,0,0,0,0,0,0,0
Ak1,1708,2149,1784,1291,1628,1217,1615,2311,2887,1786,3298,1974
Dnttip1,683,751,635,550,583,501,524,635,799,513,1094,707
D2Wsu81e,677,844,619,566,590,463,561,733,855,469,1043,787
E2f1,220,261,230,201,221,239,255,387,591,293,297,313
Prg3,0,0,0,0,0,0,0,0,0,0,0,0
Mir133c,0,0,0,0,0,0,0,0,0,0,0,0
Col20a1,375,471,361,435,333,305,308,176,154,188,383,459
Olfr1301,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1303,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1302,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1305,0,0,0,0,0,0,0,0,0,0,0,0
LOC102634401,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1307,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1306,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1309,0,0,0,0,0,0,0,0,0,0,0,0
