transcript_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
NM_026161,56,45,30,24,47,29,38,19,12,19,28,44
NM_026162,43674,42194,39358,26143,31910,30147,32238,23808,21693,19072,34730,44039
NR_105847,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199902,0,0,0,0,0,0,95,0,0,0,0,0
NM_175427,39,26,10,34,60,22,55,30,46,66,148,18
NR_040608,4,9,7,9,5,3,5,3,2,6,13,5
NR_040609,0,0,0,3,0,0,0,0,0,0,5,0
NM_007615,1,5,15,2,2,3,0,2,323,4,2,0
NM_001165935,0,0,0,0,0,0,0,0,1,0,0,0
NR_015558,0,0,0,0,0,0,0,2,0,0,6,0
NM_001165932,0,0,0,0,0,0,0,0,0,0,0,0
NM_030188,189,223,216,163,165,145,173,203,234,123,229,243
NM_001177406_3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177406_2,0,0,0,0,408,270,0,0,243,0,0,0
NM_001177406_1,376,629,356,244,414,286,0,0,184,0,75,340
NM_016775,1958,866,1832,1136,1342,1350,488,1298,2185,1361,1264,523
NM_001291124,135,0,0,0,0,73,147,141,236,87,107,0
NM_001242407,1338,1073,871,365,890,596,1362,259,1211,0,1973,1355
NM_001146350,391,612,470,552,481,340,475,490,436,727,1176,1431
NM_001177404_2,0,0,0,0,0,0,0,0,0,0,0,0
NM_023815,211,189,171,143,152,103,156,141,199,103,254,190
NM_001085546,0,0,0,0,0,0,12,0,0,9,32,31
NM_028104,0,0,0,0,0,0,0,0,0,0,0,0
NM_175392,594,780,775,963,535,827,7,942,2,702,5,492
NM_028109,0,0,3,0,14,0,0,118,191,117,373,0
NM_011923,8735,8698,8815,7114,7347,7377,7413,6430,7068,5153,7316,9708
NM_175550,722,902,720,652,642,605,622,617,688,550,1165,782
NM_175551,1357,1797,1541,1190,1216,1232,1294,1605,1723,1119,2348,1716
NM_146788,0,0,0,0,0,0,0,0,0,0,0,0
NM_007760,1746,1808,1507,1310,1601,1286,1595,1418,1525,1052,2286,1750
NM_173734,414,453,657,290,486,599,357,408,691,327,703,574
NM_001011695,0,0,0,0,0,0,0,0,0,0,0,0
NM_146978,0,0,0,0,0,0,0,0,0,0,0,0
NM_146977,0,0,0,0,0,0,0,0,0,0,0,0
NM_146974,0,0,0,0,0,0,0,0,0,0,0,0
NM_146975,0,0,0,0,0,0,0,0,0,0,0,0
NM_146972,0,0,0,0,0,0,0,0,0,0,0,0
NM_146973,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085495,1557,1816,1614,1312,1246,1299,1481,1438,1635,1223,2652,1805
NM_146971,0,0,0,0,0,0,0,0,0,0,0,0
NM_029309,0,0,0,0,0,0,0,0,7,3,7,0
NM_001199124,0,3,0,0,0,0,0,54,269,48,120,0
NM_001160410,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199123,14,19,11,16,24,10,19,95,69,78,42,12
NM_028747,5,0,2,4,0,3,4,0,0,0,3,0
NM_011699,1228,1523,1111,866,1212,1063,1107,1186,1217,992,1661,1266
NM_146373,0,0,0,0,0,0,0,0,0,0,0,0
NM_146374,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011529,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039390,15,2,11,6,6,2,7,13,16,10,35,42
NM_001113214,180,514,153,258,200,143,508,109,301,293,848,540
NM_021405,0,0,0,0,0,0,0,0,0,0,0,0
NM_001113213,1124,1063,1100,984,1063,924,867,1177,1210,816,1654,964
NM_001177480_1,8,0,0,0,0,0,16,0,7,0,0,26
NM_025633,664,876,695,697,675,502,700,561,494,402,1030,659
NM_183271,0,0,0,0,0,0,0,0,0,0,0,0
NM_178375,183,174,180,145,130,99,128,143,157,83,215,173
NR_030547,0,1,1,2,0,1,1,1,1,1,1,1
NM_001290625,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290626,323,109,84,76,248,75,133,137,187,73,330,278
NM_031167,0,0,0,0,0,0,0,140,233,0,32,0
NM_007442,23,40,21,24,28,27,8,34,39,16,51,37
NM_009298,502,558,523,446,482,382,457,545,638,400,941,544
NR_039548,0,0,0,0,0,0,0,0,0,0,0,0
NM_009295,1237,1171,1188,1058,1127,967,1222,1301,1462,912,2083,1034
NM_153820,120,155,140,82,103,85,96,77,72,64,146,149
NR_039540,0,0,0,1,0,0,0,0,0,0,0,0
NM_177846,897,1229,739,671,650,849,913,574,504,331,720,915
NM_147153,277,584,410,364,271,227,490,246,213,357,1124,256
NM_080854,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011836,0,0,0,0,0,0,0,0,0,0,0,0
NM_013510,0,0,0,0,0,0,0,0,0,0,0,0
NM_011521,8232,9851,7272,5604,7416,6255,7385,8395,8300,6827,17938,7357
NM_013515,655,950,814,591,554,607,643,1101,1581,777,1605,823
NM_011743,5753,5967,5342,3938,4479,4434,5140,4900,5434,3858,8654,6046
NR_105966,0,0,0,0,1,0,0,0,0,0,2,0
NR_038162,2,6,0,8,0,2,0,8,0,5,14,0
NM_207134,0,0,0,0,0,0,0,0,0,0,0,0
NM_177840,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271575,3,0,0,0,0,0,0,0,5,3,2,4
NM_177841,5,3,2,5,5,5,12,0,5,10,5,2
NM_001276425,270,282,231,139,158,116,158,315,399,225,494,247
NM_001267846,0,0,0,219,220,0,251,280,326,90,304,104
NM_001267847,0,0,0,0,0,0,0,0,0,0,0,0
NM_025983,1380,1964,1542,1241,1314,1129,1542,1726,2246,1403,2673,1585
NM_001276423,366,250,234,280,315,558,214,439,156,164,665,489
NM_146792,0,0,0,0,0,0,0,0,0,0,0,0
NM_007995,0,0,0,0,0,0,0,0,0,0,0,0
NM_146790,0,0,0,0,0,0,0,0,0,0,0,0
NM_146791,0,0,0,0,0,0,0,0,0,0,0,0
NM_001159582,452,666,352,508,571,580,468,606,0,596,815,413
NM_146794,0,0,0,0,0,0,0,0,0,0,0,0
NM_007993,56011,55810,50001,45874,58182,48795,71950,76858,93097,68373,136481,60763
NM_001166024,209,428,846,200,395,201,207,399,825,275,1609,281
NR_028422,0,0,0,0,0,0,2,0,0,0,0,0
NM_027225,319,295,250,201,239,122,241,148,288,215,415,338
NM_001025093,138,383,1,107,214,177,144,209,210,121,124,183
NM_029599,0,0,0,0,0,0,0,0,0,0,0,0
NM_001077632,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271469,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271468,303,384,334,252,148,231,262,354,443,278,586,304
NR_110359,0,0,0,0,0,0,0,0,0,0,0,0
NM_172659,6,5,9,5,2,0,4,23,33,30,94,2
NM_001110229,556,1881,1132,1382,1042,1240,1238,1728,2331,460,2564,1591
NM_001271462,0,0,0,0,0,0,2,0,0,0,0,0
NM_001271461,0,1,0,0,1,0,1,0,0,0,0,339
NM_001271467,0,4,3,2,2,8,5,3,6,2,21,2
NR_110351,0,0,47,0,0,0,0,0,29,0,56,0
NR_110352,0,0,0,15,0,0,0,0,28,0,0,0
NM_019690,57,65,37,52,58,48,72,38,29,47,89,43
NM_019696,14836,20882,16054,11182,16175,10965,12699,17079,19722,11809,23106,17179
NM_001177320,1511,1189,1069,0,958,428,1238,819,1095,0,0,505
NM_011355,10,11,8,0,9,6,8,16,8,16,35,5
NM_011354,5985,7298,6339,4753,5594,4880,5792,6637,8367,4650,9567,6759
NM_178607,873,952,813,613,857,668,893,753,880,622,1165,928
NM_011356,13,45,71,49,13,21,44,56,112,34,40,59
NM_008523,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289593,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163476,23,2,7,3,0,20,0,2,38,15,9,8
NM_010889,44,35,41,59,46,22,112,42,34,35,154,53
NM_001011833,0,0,0,0,0,0,0,0,0,0,0,0
NM_013731,0,0,0,0,0,0,0,0,0,0,0,0
NR_033225,621,518,420,383,418,365,350,333,215,230,426,579
NR_037271,0,0,0,0,0,0,0,0,0,0,0,0
NR_037270,0,0,0,0,0,0,1,0,0,0,0,0
NM_013735,1678,1837,1054,1301,1539,1237,1509,1442,1729,1147,2850,1728
NM_033615,259,431,309,201,465,336,419,169,92,63,358,479
NM_198725,0,0,0,0,0,0,0,104,0,0,89,0
NM_027172,27,28,31,35,36,13,22,34,31,39,44,38
NM_027175,298,381,270,200,273,186,226,257,331,214,412,294
