ID	log2fold	p	p.adj
ENSG00000162714	-0.342550836508009	1.06928877106154e-09	2.97636288716761e-07
ENSG00000163739	1.63435088103934	1.08603947001641e-09	2.97636288716761e-07
ENSG00000134830	0.448644032069364	1.12524810819034e-09	2.98336533918424e-07
ENSG00000138772	1.43248776756901	1.12967362241056e-09	2.98336533918424e-07
ENSG00000120306	0.577880830133003	1.24814720082502e-09	3.23738180213989e-07
ENSG00000108309	1.33737299626297	1.34311987686726e-09	3.42259933535033e-07
ENSG00000136999	1.27338193985682	1.3768108648437e-09	3.44796169169909e-07
ENSG00000133063	1.45241534467644	1.45069839412267e-09	3.57142274146301e-07
ENSG00000136630	0.503757866547055	1.50722253102821e-09	3.64873454386412e-07
ENSG00000204936	1.75146680073576	1.73570892121863e-09	4.13297902962304e-07
ENSG00000198876	0.393117115700623	2.24035171194896e-09	5.24856590581591e-07
ENSG00000257743	1.30334101501378	2.35441357194225e-09	5.42823129086686e-07
ENSG00000173281	0.594219207628171	2.55213774270256e-09	5.79215636136793e-07
ENSG00000157551	1.16290945570962	2.76512607650576e-09	6.08880002299292e-07
ENSG00000174307	0.841398132356544	2.79985544481955e-09	6.08880002299292e-07
ENSG00000183762	1.19378059694707	2.80860310871274e-09	6.08880002299292e-07
ENSG00000170801	1.6511785968261	2.89117353009638e-09	6.17563169480147e-07
ENSG00000122547	0.329321707155215	3.70350147740393e-09	7.79613897960755e-07
ENSG00000100365	0.436472963324369	4.22631348963821e-09	8.76859561960559e-07
ENSG00000176788	0.649539238432787	4.28619820304301e-09	8.76859561960559e-07
ENSG00000030419	-0.469528968864928	4.35231725655089e-09	8.78019557658356e-07
ENSG00000157554	1.21561700373495	5.16805247399797e-09	1.02830085184686e-06
ENSG00000160145	0.498615805749625	5.72641993869439e-09	1.10901666146048e-06
ENSG00000163421	1.04410722757683	5.67713634758998e-09	1.10901666146048e-06
ENSG00000182782	1.29064791519978	5.88959674487135e-09	1.12561043051653e-06
ENSG00000133816	0.29897932996676	5.97691185583722e-09	1.1274629182602e-06
ENSG00000106714	1.61870680443002	6.9936552962816e-09	1.30234414331398e-06
ENSG00000008516	0.99529040772851	7.2075457231255e-09	1.32518483073921e-06
ENSG00000140932	1.11570516639552	9.23934639675049e-09	1.67751883016001e-06
ENSG00000125505	0.413969890813459	9.51752968890684e-09	1.68587949672405e-06
ENSG00000255398	1.12541996050952	9.4702965024849e-09	1.68587949672405e-06
ENSG00000004939	1.71483599241738	9.90417058450902e-09	1.71259616357135e-06
ENSG00000161905	1.31947614191875	9.89803840017907e-09	1.71259616357135e-06
ENSG00000121957	0.401334782671428	1.08413331614769e-08	1.85259251965237e-06
ENSG00000196549	1.34235277818062	1.15429414706844e-08	1.94954912629873e-06
