Peak id	Log FC	P-value	Adjusted P-value	Log Odds
802	0.44	0.0529	0.2128	-5.2021
803	-0.6	0.0178	0.106	-4.0964
804	-0.13	0.7894	0.8946	-7.3965
805	0.08	0.845	0.9246	-7.4164
806	0.01	0.9811	0.992	-7.4389
807	-0.1	0.8705	0.9389	-7.4234
808	-0.02	0.828	0.9131	-7.411
809	-0.04	0.6776	0.8358	-7.3357
810	-0.04	0.6654	0.8305	-7.3273
811	0.07	0.5748	0.7753	-7.2508
812	-0.01	0.8682	0.938	-7.4228
813	0	0.9889	0.9943	-7.4392
814	-0.04	0.6443	0.8162	-7.3116
815	-0.05	0.6711	0.8325	-7.3312
816	0.01	0.9134	0.9595	-7.4322
817	0.04	0.7043	0.8487	-7.353
818	-0.12	0.1838	0.4547	-6.383
819	0.02	0.8308	0.9149	-7.4119
820	-0.06	0.6718	0.8325	-7.3318
821	0.37	0.2594	0.5366	-6.6782
822	-0.04	0.885	0.9457	-7.4267
823	0.2	0.5331	0.7472	-7.2066
824	0.02	0.8061	0.9017	-7.4032
825	-0.06	0.5277	0.7444	-7.2004
826	0.03	0.8567	0.9319	-7.4197
827	0.07	0.4769	0.7113	-7.1364
828	-0.05	0.7398	0.8669	-7.3732
829	-0.03	0.7281	0.8605	-7.3669
830	0.29	0.5664	0.7716	-7.2424
831	0.38	0.1934	0.4652	-6.4276
832	0.29	0.5404	0.7517	-7.2148
833	0.18	0.6773	0.8358	-7.3356
834	0.41	0.4762	0.711	-7.1354
835	0.26	0.3682	0.6274	-6.9545
836	0.18	0.6546	0.8226	-7.3194
837	0.38	0.3031	0.5765	-6.8047
838	0.41	0.2424	0.5209	-6.6216
839	0.04	0.6416	0.816	-7.3095
840	-0.03	0.7427	0.8687	-7.3747
841	-0.25	0.0392	0.1782	-4.9023
842	-0.03	0.7434	0.8691	-7.3751
843	-0.04	0.7522	0.8736	-7.3795
844	-0.18	0.1606	0.4201	-6.2625
845	-0.2	0.141	0.3924	-6.1437
846	-0.15	0.2239	0.5016	-6.5542
847	-0.13	0.3753	0.6314	-6.9688
848	-2.27	0.0032	0.0356	-2.2928
849	-2.11	0	0.0002	6.1641
850	-2.37	0	0	10.5052
851	-0.27	0.7703	0.8835	-7.3882
852	0.14	0.5313	0.7461	-7.2046
853	-0.06	0.4981	0.724	-7.1644
854	0.63	0.0071	0.0558	-3.1262
855	-0.39	0.1959	0.4683	-6.4388
856	-0.52	0.0263	0.1407	-4.4968
857	-0.4	0.1195	0.3539	-5.9911
858	-1.12	0.0008	0.0159	-0.785
859	-3.47	0	0.0003	5.5012
860	-0.92	0.0051	0.0455	-2.7739
861	-0.32	0.2741	0.5503	-6.7236
862	-0.15	0.3794	0.6353	-6.9767
863	-0.14	0.7487	0.8725	-7.3778
864	-0.24	0.3316	0.6014	-6.8751
865	0.13	0.4715	0.7059	-7.1288
866	0.1	0.8819	0.945	-7.4261
867	0.18	0.8079	0.902	-7.4039
868	-0.01	0.9423	0.973	-7.4361
869	0.22	0.3685	0.6274	-6.9551
870	-1.31	0.0056	0.0479	-2.8722
871	-0.06	0.5172	0.7391	-7.1881
872	0.57	0.0064	0.0524	-3.022
873	0.07	0.3924	0.6434	-7.0014
874	0.09	0.3721	0.6297	-6.9625
875	0.01	0.9561	0.9804	-7.4375
876	-0.21	0.0436	0.1887	-5.0097
877	-0.03	0.8048	0.9017	-7.4027
878	-0.51	0.0584	0.2265	-5.3015
879	-2.03	0.0016	0.0245	-1.3479
880	0.24	0.1646	0.4254	-6.2847
881	0.23	0.3539	0.6148	-6.9249
882	-0.88	0.1491	0.4045	-6.195
883	-1.61	0.0027	0.0324	-2.1004
884	1.06	0.0651	0.2415	-5.4074
885	0.4	0.187	0.4583	-6.3982
886	0.21	0.5713	0.7735	-7.2473
887	0.05	0.5783	0.7777	-7.2542
888	-0.6	0.033	0.1621	-4.7288
889	-0.66	0.03	0.1523	-4.6313
890	-0.69	0.023	0.1277	-4.3591
891	-1.98	0.0007	0.0149	-0.6458
892	-0.02	0.8269	0.9131	-7.4106
893	-0.04	0.6467	0.8176	-7.3135
894	0.04	0.698	0.8476	-7.3491
895	-0.01	0.9296	0.9671	-7.4346
896	0.04	0.6694	0.8325	-7.3301
897	-0.04	0.7529	0.8739	-7.3799
898	0.2	0.0513	0.2108	-5.1718
899	-0.03	0.8589	0.9327	-7.4204
900	-0.65	0.029	0.1491	-4.5962
901	-0.02	0.828	0.9131	-7.411
902	-0.04	0.626	0.8079	-7.297
903	-0.04	0.6712	0.8325	-7.3313
904	-0.27	0.5275	0.7444	-7.2003
905	-0.24	0.5737	0.7748	-7.2497
906	-0.23	0.5413	0.7517	-7.2158
907	-0.32	0.4409	0.6841	-7.0836
908	-0.32	0.3667	0.6264	-6.9516
909	-0.16	0.6422	0.8162	-7.31
910	-0.03	0.7268	0.8603	-7.3662
911	-0.03	0.7499	0.8732	-7.3784
912	0.04	0.702	0.8483	-7.3516
913	0.01	0.9195	0.9631	-7.4332
914	0.59	0.3351	0.6018	-6.8831
915	0.29	0.492	0.7202	-7.1566
916	0.95	0.0009	0.0169	-0.87
917	1.63	0.0001	0.0028	1.8618
918	1.38	0.0001	0.0031	1.7387
919	1.43	0.0001	0.0026	2.0354
920	1.49	0	0.0018	2.7309
921	0.44	0.0201	0.1151	-4.2184
922	1.21	0.0008	0.0157	-0.7403
923	1.4	0	0.0013	3.3025
924	-1.23	0.0748	0.261	-5.543
925	-0.24	0.1036	0.3207	-5.8567
926	0.07	0.4824	0.7151	-7.1438
927	-0.02	0.9282	0.9666	-7.4344
928	-0.07	0.5031	0.7276	-7.1708
929	0.07	0.5861	0.7808	-7.2618
930	0	0.9947	0.9966	-7.4393
931	0.42	0.2502	0.5277	-6.6483
932	0.54	0.2077	0.4808	-6.4897
933	0.19	0.465	0.7008	-7.1196
934	-0.46	0.389	0.6414	-6.9951
935	0.25	0.4836	0.7162	-7.1454
936	-0.01	0.9838	0.9933	-7.439
937	0.38	0.3512	0.6122	-6.9191
938	0.65	0.0006	0.0133	-0.4689
939	1.39	0.0002	0.0064	0.5849
940	-0.06	0.7705	0.8835	-7.3883
941	-0.09	0.3464	0.6097	-6.9085
942	-0.61	0.2386	0.5166	-6.6083
943	-0.42	0.3774	0.6333	-6.9729
944	0.1	0.2627	0.5399	-6.6887
945	-0.04	0.6917	0.8455	-7.3451
946	0.02	0.8963	0.9496	-7.4291
947	0.07	0.4228	0.6695	-7.0546
948	-0.02	0.9062	0.9551	-7.431
949	-0.04	0.7941	0.8954	-7.3985
950	-0.12	0.4452	0.6854	-7.0903
951	0.09	0.4995	0.7249	-7.1662
952	-0.11	0.6877	0.8426	-7.3425
953	-0.57	0.1649	0.4254	-6.2859
954	0.02	0.8907	0.948	-7.428
955	-0.05	0.5567	0.763	-7.2324
956	-0.03	0.8022	0.8998	-7.4017
957	-0.03	0.7213	0.858	-7.3631
958	-0.04	0.7621	0.8808	-7.3844
959	0.01	0.9216	0.9636	-7.4335
960	0.12	0.2657	0.5407	-6.6979
961	-0.16	0.5412	0.7517	-7.2157
962	-0.01	0.9528	0.9783	-7.4372
963	-1.02	0.0819	0.276	-5.6316
964	-1.01	0.0092	0.0659	-3.4081
965	-0.81	0.0246	0.1345	-4.4271
966	-1.6	0.0044	0.0423	-2.6218
967	-0.06	0.4939	0.7214	-7.1591
968	0.69	0.0518	0.2119	-5.1819
969	0.06	0.8796	0.9436	-7.4255
970	0.22	0.6103	0.7975	-7.2837
971	0.53	0.0312	0.1561	-4.672
972	0.58	0.0757	0.2632	-5.5551
973	0.1	0.3307	0.6009	-6.8729
974	-0.02	0.8641	0.9358	-7.4217
975	-0.38	0.0789	0.269	-5.5952
976	0.7	0.0094	0.0666	-3.4253
977	0.73	0.0376	0.1736	-4.7218
978	0.81	0.0253	0.1374	-4.4593
979	0.87	0.0274	0.1439	-4.5381
980	0.86	0.0032	0.0356	-2.2819
981	-0.14	0.2161	0.4927	-6.524
982	-0.65	0.237	0.5154	-6.6028
983	-0.46	0.1382	0.3879	-6.1254
984	-0.59	0.0643	0.24	-5.3966
985	0.77	0.0039	0.0393	-2.5048
986	0.14	0.6699	0.8325	-7.3304
987	0.25	0.3752	0.6314	-6.9686
988	0.71	0.0867	0.2868	-5.687
989	-0.5	0.0331	0.1621	-4.7322
990	-1.27	0.0078	0.0597	-3.2306
991	0.14	0.1643	0.4252	-6.2828
992	-0.84	0.0493	0.2063	-5.132
993	-1.06	0.002	0.0272	-1.785
994	-0.48	0.0523	0.2119	-5.1916
995	0.19	0.5188	0.7396	-7.1899
996	0.53	0.0009	0.0173	-0.9166
997	0.82	0.0089	0.065	-3.3733
998	0.87	0.0015	0.0237	-1.4844
999	-0.03	0.7381	0.8667	-7.3723
1000	0.01	0.9454	0.9742	-7.4365
1001	0.03	0.7094	0.8513	-7.3561
1002	-0.03	0.7212	0.858	-7.363
1003	-0.04	0.6451	0.8162	-7.3122
1004	-0.46	0.1447	0.4001	-6.1676
1005	0.17	0.0893	0.2909	-5.7148
1006	0.1	0.3831	0.638	-6.9839
1007	-0.3	0.258	0.5355	-6.6737
1008	-0.33	0.1552	0.413	-6.2311
1009	-0.26	0.6059	0.7939	-7.2799
1010	-0.51	0.2479	0.5267	-6.6403
1011	-0.02	0.8726	0.9409	-7.4239
1012	-0.76	0.0732	0.2586	-5.5227
1013	-0.81	0.004	0.0394	-2.5211
1014	0.03	0.6957	0.8476	-7.3477
1015	0.12	0.291	0.5656	-6.772
1016	0.17	0.2504	0.5277	-6.6489
1017	-0.02	0.8422	0.9233	-7.4156
1018	-2.49	0.0001	0.0042	1.2497
1019	-1.17	0.0037	0.0383	-2.429
1020	-0.3	0.1651	0.4254	-6.287
1021	0.02	0.823	0.9104	-7.4093
1022	0.07	0.645	0.8162	-7.3121
1023	0.05	0.6711	0.8325	-7.3312
1024	-0.04	0.6252	0.8073	-7.2964
1025	0.02	0.832	0.9152	-7.4123
1026	0.04	0.6981	0.8476	-7.3491
1027	-0.09	0.3469	0.6097	-6.9097
1028	-0.02	0.8746	0.942	-7.4244
1029	0.28	0.4918	0.7202	-7.1563
1030	0.11	0.672	0.8325	-7.3319
1031	0.46	0.1522	0.408	-6.2137
1032	0.19	0.0801	0.2722	-5.6106
1033	0.05	0.5397	0.7517	-7.214
1034	0.28	0.0776	0.2671	-5.5788
1035	0.12	0.2722	0.549	-6.718
1036	0.25	0.2596	0.5366	-6.6789
1037	-1.08	0.0008	0.0168	-0.853
1038	0.07	0.5406	0.7517	-7.2151
1039	-0.06	0.4893	0.7196	-7.153
1040	-0.03	0.7768	0.8868	-7.3911
1041	-0.01	0.948	0.9753	-7.4367
1042	0.01	0.9315	0.9678	-7.4349
1043	-0.11	0.3814	0.6369	-6.9807
1044	0.42	0.2849	0.5592	-6.7549
1045	-0.1	0.5926	0.7852	-7.2678
1046	0.02	0.8107	0.9023	-7.4049
1047	-0.74	0.1849	0.456	-6.3881
1048	0	0.9991	0.9993	-7.4393
1049	0.06	0.7442	0.8694	-7.3755
1050	0.86	0.0592	0.2287	-5.3147
1051	4.45	0	0	13.7249
1052	1.53	0.0011	0.0203	-1.163
1053	-0.05	0.8079	0.902	-7.4039
1054	-1.57	0.0012	0.0206	-1.1905
1055	-2.95	0	0.0001	6.6433
1056	0.41	0.2389	0.517	-6.6096
1057	0.02	0.8674	0.938	-7.4226
1058	0.11	0.6245	0.8066	-7.2958
1059	-0.11	0.3858	0.6406	-6.989
1060	0.54	0.0264	0.1407	-4.4993
1061	-0.08	0.3401	0.6061	-6.8945
1062	0.22	0.4225	0.6695	-7.0542
1063	0.01	0.931	0.9677	-7.4348
1064	0.39	0.0979	0.3096	-5.8026
1065	1.03	0.0008	0.0158	-0.77
1066	0.9	0.0288	0.1485	-4.5895
1067	-0.08	0.7082	0.8511	-7.3554
1068	0.81	0.0063	0.0519	-3.0023
1069	0.88	0.0309	0.1556	-4.6628
1070	1.33	0.0072	0.0568	-3.152
1071	0.3	0.1096	0.3333	-5.9098
1072	0.3	0.5062	0.7307	-6.957
1073	0.71	0.0013	0.0221	-1.1485
1074	-0.56	0.1293	0.3724	-6.0637
1075	-0.08	0.4384	0.6814	-7.0798
1076	0.02	0.8565	0.9319	-7.4197
1077	0.37	0.2062	0.4804	-6.4837
1078	0.55	0.0905	0.2933	-5.7275
1079	-0.09	0.5772	0.7771	-7.2531
1080	0.69	0.0092	0.0659	-3.4098
1081	0.49	0.0502	0.2085	-5.1513
1082	-0.41	0.2998	0.5747	-6.7958
1083	0.01	0.945	0.9741	-7.4364
1084	-0.05	0.7032	0.8487	-7.3523
1085	0.1	0.2615	0.5391	-6.6849
1086	0.13	0.2463	0.5252	-6.6352
1087	-0.01	0.8973	0.9496	-7.4293
1088	-0.07	0.4245	0.6706	-7.0573
1089	0.54	0.1023	0.3186	-5.8449
1090	0.08	0.7471	0.8715	-7.377
1091	-0.05	0.5716	0.7737	-7.2477
1092	0.03	0.7664	0.8824	-7.3864
1093	0.34	0.1755	0.4422	-6.3419
1094	-0.52	0.2527	0.5278	-6.6564
1095	-0.14	0.1636	0.4239	-6.2787
1096	-0.85	0.0435	0.1884	-5.0066
1097	-1.28	0.0258	0.1391	-4.4771
1098	-0.43	0.0778	0.2671	-5.5818
1099	0.18	0.1796	0.4486	-6.3625
1100	0.55	0.1824	0.4521	-6.3759
1101	-0.22	0.645	0.8162	-7.2321
1102	0.44	0.0672	0.2456	-5.4389
1103	0.33	0.2025	0.4773	-6.4679
1104	0.02	0.8284	0.9132	-7.4111
1105	-0.04	0.6916	0.8455	-7.345
1106	-0.17	0.4699	0.7047	-7.1265
1107	0.04	0.8752	0.942	-7.4245
1108	0.18	0.5652	0.7703	-7.2412
1109	0.08	0.3745	0.6313	-6.9672
1110	-0.18	0.5425	0.7523	-7.2171
1111	0.17	0.1498	0.4053	-6.1991
1112	-1.11	0.004	0.0394	-2.5167
1113	-0.82	0.0414	0.1835	-4.8211
1114	-0.05	0.6013	0.7908	-7.2757
1115	0.2	0.5753	0.7753	-7.2513
1116	-0.21	0.473	0.7078	-7.1309
1117	-0.17	0.3858	0.6406	-6.9889
1118	-0.25	0.2749	0.5509	-6.726
1119	0.25	0.2076	0.4808	-6.4894
1120	-0.68	0.051	0.2103	-5.1657
1121	1.18	0.0062	0.0518	-2.9914
1122	-0.02	0.968	0.9848	-7.4383
1123	-0.53	0.1372	0.3858	-6.1187
1124	0.35	0.1316	0.3767	-6.08
1125	0.52	0.1677	0.4301	-6.3012
1126	-0.05	0.6001	0.7908	-7.2747
1127	-0.08	0.4912	0.7202	-7.1555
1128	0.19	0.2354	0.5138	-6.5968
1129	0.29	0.0176	0.1052	-4.0846
1130	0.27	0.1862	0.4574	-6.3944
1131	-1.34	0.0001	0.0042	1.2252
1132	-0.92	0.0014	0.0234	-1.4321
1133	0.11	0.6762	0.8358	-7.3348
1134	0.15	0.2795	0.5573	-6.7395
1135	-0.05	0.7104	0.8513	-7.3567
1136	-0.29	0.3859	0.6406	-6.9893
1137	0.35	0.4226	0.6695	-7.0542
1138	-0.44	0.1343	0.3808	-6.0989
1139	-1.43	0.0017	0.0254	-1.616
1140	-0.01	0.9367	0.9694	-7.4355
1141	-0.19	0.2236	0.5016	-6.5534
1142	0.07	0.4529	0.69	-7.102
1143	0.1	0.4213	0.6695	-7.0521
1144	0.06	0.7104	0.8513	-7.3567
1145	-0.67	0.0121	0.0797	-3.6948
1146	0.7	0.0348	0.166	-4.7822
1147	-1	0.0047	0.0435	-2.6828
1148	-0.07	0.6074	0.7951	-7.2812
1149	-0.12	0.4764	0.711	-7.1356
1150	-0.02	0.9045	0.954	-7.4307
1151	0.28	0.2089	0.4819	-6.4948
1152	0.01	0.8972	0.9496	-7.4293
1153	-0.04	0.6842	0.8407	-7.3402
1154	-0.28	0.1938	0.4653	-6.4293
1155	-2.79	0	0.0007	4.1085
1156	0.2	0.1499	0.4053	-6.1999
1157	0.52	0.0616	0.2337	-5.3543
1158	0.36	0.1583	0.4169	-6.2494
1159	0.57	0.1343	0.3808	-6.0992
1160	0.15	0.6368	0.8132	-7.3057
1161	0.37	0.4293	0.6749	-7.0653
1162	-0.06	0.5018	0.7267	-7.1691
1163	-1.04	0.0011	0.0199	-1.1356
1164	0	0.9974	0.9983	-7.4393
1165	-0.21	0.5936	0.7855	-7.2687
1166	-1.03	0.0195	0.1136	-4.1913
1167	-0.39	0.064	0.2389	-5.3908
1168	0.43	0.1681	0.4301	-6.3035
1169	-0.38	0.1977	0.4712	-6.4468
1170	0.2	0.4861	0.7179	-7.1488
1171	-0.1	0.2707	0.5463	-6.7135
1172	0.11	0.3325	0.6016	-6.8771
1173	-0.18	0.7233	0.8586	-7.3642
1174	-0.28	0.3569	0.6177	-6.9312
1175	0.17	0.2565	0.5337	-6.669
1176	-0.01	0.9203	0.9631	-7.4333
1177	0.07	0.4433	0.6851	-7.0873
1178	-0.07	0.5338	0.7476	-7.2074
1179	-3.07	0.0001	0.0028	1.9007
1180	-0.9	0.084	0.2808	-5.6556
1181	0.63	0.0225	0.1251	-4.336
1182	0.66	0.0022	0.0282	-1.8717
1183	0.87	0.0413	0.1833	-4.955
1184	-0.08	0.6478	0.8178	-7.3143
1185	0.3	0.6518	0.8201	-7.3173
1186	0.35	0.0805	0.273	-5.6153
1187	0.6	0.0299	0.1521	-4.6284
1188	0.72	0.0074	0.0572	-3.1681
1189	0.21	0.3788	0.6352	-6.9757
1190	1.22	0.0258	0.1391	-4.1152
1191	0	0.984	0.9933	-7.439
1192	-2.66	0.0027	0.0324	-1.643
1193	0.07	0.7501	0.8732	-7.3785
1194	0.58	0.3556	0.617	-6.9285
1195	0	0.9682	0.9848	-7.4383
1196	0.35	0.3446	0.6087	-6.9047
1197	0	0.9895	0.9943	-7.4392
1198	-0.14	0.3867	0.6406	-6.9908
1199	0.01	0.9417	0.9729	-7.4361
1200	-0.02	0.7916	0.8954	-7.3975
1201	-1.36	0.0037	0.0384	-2.2563
1202	0.22	0.4482	0.6867	-7.0094
1203	0.11	0.6206	0.8043	-7.2925
1204	-1.52	0.0178	0.1058	-4.0932
1205	0.14	0.1957	0.4683	-6.4381
1206	-0.07	0.4773	0.7116	-7.1369
1207	-0.06	0.5976	0.7891	-7.2724
1208	0.49	0.0104	0.0728	-3.5385
1209	0.65	0.0082	0.0613	-3.2867
1210	0.11	0.2577	0.5355	-6.6728
1211	2.35	0.0023	0.0295	-1.9334
1212	0.28	0.3558	0.6171	-6.929
1213	-0.15	0.7146	0.8537	-7.3592
1214	-0.11	0.488	0.7194	-7.1513
1215	-0.04	0.7232	0.8586	-7.3641
1216	0.04	0.6231	0.8055	-7.2946
1217	0.48	0.0425	0.1858	-4.9845
1218	-0.82	0.0094	0.0667	-3.4292
1219	0.03	0.7566	0.8758	-7.3817
1220	0.27	0.3513	0.6122	-6.9193
1221	0.28	0.1773	0.4446	-6.351
1222	-0.16	0.6044	0.7925	-7.2786
1223	0.16	0.1481	0.4043	-6.1891
1224	0.08	0.522	0.7408	-7.1938
1225	-0.19	0.7044	0.8487	-7.353
1226	-2.31	0.0037	0.0384	-2.4448
1227	-0.55	0.0608	0.2323	-5.3409
1228	-0.52	0.0474	0.2012	-5.0941
1229	-0.51	0.1082	0.3298	-5.8972
1230	0.23	0.2542	0.5303	-6.6614
1231	0.47	0.1856	0.4566	-6.3912
1232	0.71	0.0331	0.1621	-4.7318
1233	0.27	0.3468	0.6097	-6.9094
1234	1.16	0.006	0.0507	-2.9457
1235	0.43	0.0251	0.1366	-4.4501
1236	-0.57	0.2828	0.5589	-6.7488
1237	0.5	0.067	0.2454	-5.4369
1238	0.24	0.3228	0.5952	-6.8542
1239	0.33	0.5823	0.7787	-7.2581
1240	0.4	0.2475	0.5264	-6.639
1241	-0.01	0.8799	0.9436	-7.4256
1242	3.2	0	0	9.3678
1243	0.75	0.0044	0.0423	-2.4455
1244	0.03	0.8418	0.9233	-7.4154
1245	-0.3	0.194	0.4653	-6.4302
1246	-0.5	0.25	0.5277	-6.6475
1247	-1.02	0.1505	0.4056	-6.2037
1248	2.16	0.0005	0.0124	-0.3397
1249	0	0.9745	0.9877	-7.4387
1250	0.04	0.8291	0.9137	-7.4114
1251	-0.35	0.323	0.5952	-6.8547
1252	-0.05	0.575	0.7753	-7.251
1253	2.67	0	0.0014	3.1248
1254	0.03	0.7935	0.8954	-7.3982
1255	0.08	0.5101	0.7326	-7.1795
1256	-0.1	0.3333	0.6016	-6.879
1257	0.09	0.6406	0.8151	-7.3088
1258	0.16	0.1615	0.4214	-6.2674
1259	-0.05	0.5678	0.7721	-7.2438
1260	1.19	0.0031	0.0349	-2.2409
1261	0.09	0.3711	0.6286	-6.9604
1262	0.33	0.1274	0.3685	-6.0505
1263	0	0.9904	0.9944	-7.4392
1264	0.08	0.4432	0.6851	-7.0872
1265	0.18	0.3426	0.6074	-6.9002
1266	-0.06	0.5927	0.7852	-7.2679
1267	-0.41	0.095	0.3035	-5.7743
1268	0.13	0.2656	0.5407	-6.6977
1269	-0.35	0.2881	0.5622	-6.7639
1270	0.02	0.8056	0.9017	-7.403
1271	-0.13	0.3919	0.6434	-7.0004
1272	-0.01	0.9594	0.9819	-7.4377
1273	-1.64	0.0154	0.0971	-3.9446
1274	-0.22	0.1445	0.3998	-6.1661
1275	-0.16	0.3868	0.6406	-6.991
1276	-0.73	0.0311	0.1561	-4.6699
1277	-0.4	0.1361	0.3843	-6.1114
1278	-0.23	0.3117	0.5817	-6.8268
1279	-0.68	0.0264	0.1407	-4.4999
1280	0.06	0.6383	0.8141	-7.307
1281	-0.13	0.3658	0.6264	-6.9497
1282	0.1	0.4247	0.6706	-7.0577
1283	-1	0.0699	0.2516	-5.477
1284	-1.37	0.0482	0.2033	-5.1114
1285	-0.11	0.7537	0.874	-7.3803
1286	-0.49	0.0208	0.118	-4.2577
1287	-2.93	0	0.0001	8.0064
1288	-0.37	0.3775	0.6333	-6.973
1289	0	0.9711	0.9859	-7.4385
1290	0.05	0.6537	0.8217	-7.3187
1291	0.27	0.1818	0.4513	-6.3733
1292	-0.03	0.9001	0.9516	-7.4298
1293	-2.46	0.0003	0.0088	0.1287
1294	0.16	0.4784	0.7122	-7.1384
1295	-1.09	0.0003	0.0078	0.3064
1296	-0.58	0.0584	0.2265	-5.3005
1297	0.14	0.7352	0.8657	-7.3708
1298	-0.3	0.1459	0.4023	-6.175
1299	-0.05	0.6127	0.7994	-7.2858
1300	-1.65	0.0038	0.039	-2.029
1301	0.29	0.1582	0.4169	-6.2489
1302	-0.2	0.559	0.765	-7.2348
1303	-0.1	0.7417	0.8681	-7.3742
1304	-0.7	0.1201	0.3548	-5.9952
1305	0.37	0.1898	0.4605	-6.4113
1306	0.11	0.2353	0.5138	-6.5965
1307	-0.05	0.687	0.8421	-7.3421
1308	-0.89	0.0061	0.0514	-2.9762
1309	0.23	0.1263	0.3655	-6.042
1310	-0.01	0.9725	0.9866	-7.4386
1311	-0.14	0.2029	0.4773	-6.4695
1312	0.08	0.3795	0.6353	-6.9769
1313	0.07	0.4925	0.7205	-7.1571
1314	0.39	0.1897	0.4605	-6.4107
1315	0.15	0.4161	0.6638	-7.0433
1316	0.29	0.1819	0.4513	-6.3734
1317	0.36	0.2078	0.4808	-6.4904
1318	3.28	0	0.0013	3.5053
1319	0.54	0.0193	0.1128	-4.1771
1320	0.53	0.0498	0.2072	-5.1434
1321	0.51	0.0636	0.2382	-5.385
1322	0.93	0.0033	0.0361	-2.3147
1323	0.58	0.0693	0.2501	-5.469
1324	-0.68	0.0293	0.15	-4.6074
1325	-0.49	0.264	0.5407	-6.6926
1326	0.34	0.1517	0.4068	-6.2104
1327	0.55	0.0256	0.1385	-4.471
1328	0.43	0.1966	0.4694	-6.442
1329	0.37	0.2321	0.511	-6.5851
1330	0.01	0.9421	0.973	-7.4361
1331	0.37	0.0391	0.1781	-4.9003
1332	0.5	0.0118	0.0789	-3.6682
1333	0.54	0.3709	0.6286	-6.96
1334	0.15	0.2806	0.5574	-6.7426
1335	-0.17	0.4284	0.6742	-7.0638
1336	0.29	0.3078	0.5797	-6.8168
1337	-0.02	0.9144	0.9602	-7.4324
1338	0.23	0.3966	0.6461	-7.0092
1339	-0.92	0.0775	0.2671	-5.5781
1340	0.25	0.2849	0.5592	-6.7551
1341	0.79	0.022	0.1233	-4.3157
1342	0.08	0.4303	0.6754	-7.0669
1343	-0.04	0.6773	0.8358	-7.2561
1344	2.67	0.0035	0.0378	-1.5197
1345	0.06	0.8864	0.9466	-7.427
1346	-0.45	0.186	0.4573	-6.2906
1347	-2.58	0.0001	0.0027	2.4861
1348	-0.07	0.6228	0.8055	-7.2944
1349	0.39	0.2294	0.5094	-6.575
1350	0.24	0.3911	0.6431	-6.9989
1351	0.06	0.6309	0.8116	-7.301
1352	-0.41	0.1186	0.3523	-5.9838
1353	0.15	0.2928	0.5671	-6.7769
1354	0.36	0.225	0.5031	-6.5586
1355	0.1	0.6976	0.8476	-7.3488
1356	0.07	0.7632	0.8816	-7.3849
1357	-0.06	0.8845	0.9455	-7.4266
1358	0.16	0.5412	0.7517	-7.2157
1359	0.01	0.9584	0.9815	-7.4377
1360	-0.33	0.1783	0.4461	-6.3561
1361	0.39	0.0341	0.1648	-4.763
1362	-0.07	0.5676	0.7721	-7.2436
1363	-1.21	0.0079	0.0599	-3.2431
1364	-0.92	0.0048	0.044	-2.7059
1365	0.4	0.0885	0.2888	-5.7058
1366	-0.54	0.0781	0.2674	-5.5851
1367	-1.35	0.0069	0.0547	-3.096
1368	0.12	0.7668	0.8824	-7.3866
1369	0.01	0.9402	0.9717	-7.4359
1370	0.38	0.2044	0.4793	-6.4757
1371	0.09	0.7637	0.8818	-7.3852
1372	0.8	0.0021	0.0275	-1.8207
1373	-0.23	0.4575	0.6926	-7.1088
1374	0.08	0.5936	0.7855	-7.2687
1375	-0.53	0.0012	0.0211	-1.2664
1376	-2.66	0	0.0013	3.2385
1377	0.05	0.6846	0.8408	-7.3404
1378	-0.24	0.4489	0.6871	-7.0959
1379	-0.09	0.7913	0.8954	-7.3973
1380	-0.37	0.1245	0.3629	-6.0293
1381	0.04	0.8968	0.9496	-7.4292
1382	-0.03	0.893	0.9495	-7.4284
1383	-0.1	0.6998	0.8476	-7.3502
1384	0.27	0.3221	0.5952	-6.8525
1385	0.21	0.1408	0.3924	-6.1427
1386	0.04	0.6607	0.8271	-7.3239
1387	0.02	0.8832	0.9452	-7.4263
1388	-0.41	0.1581	0.4169	-6.248
1389	-1.02	0.0157	0.0976	-3.9625
1390	0	0.9886	0.9943	-7.4392
1391	-0.14	0.2567	0.5337	-6.6694
1392	-0.32	0.1231	0.3615	-6.0187
1393	-1.07	0.07	0.2518	-5.4797
1394	-0.07	0.76	0.8791	-7.3834
1395	-1.43	0.0091	0.0653	-3.3908
1396	-0.12	0.5022	0.7267	-7.1696
1397	-0.11	0.6965	0.8476	-7.3482
1398	0.08	0.5465	0.7541	-7.2216
1399	0.1	0.6275	0.8093	-7.2983
1400	-0.66	0.0888	0.2896	-5.7094
1401	-0.44	0.0839	0.2808	-5.6553
1402	0.1	0.3036	0.5765	-6.806
1403	-0.14	0.241	0.5201	-6.617
1404	0.41	0.1539	0.4116	-6.2237
1405	-0.14	0.7311	0.8632	-7.3685
1406	0.13	0.7169	0.8554	-7.3605
1407	-0.03	0.8423	0.9233	-7.4156
1408	-0.09	0.8155	0.9059	-7.4067
1409	0.15	0.5192	0.7396	-7.1905
1410	-0.5	0.2706	0.5463	-6.713
1411	1.59	0.003	0.0343	-1.7479
1412	1.94	0.0002	0.0053	0.8698
1413	0.17	0.6176	0.8031	-7.29
1414	-1.45	0.0062	0.0518	-2.9901
1415	-1.77	0.0027	0.0322	-2.082
