Peak id	Log FC	P-value	Adjusted P-value	Log Odds
439	0.07	0.4587	0.6937	-7.1105
440	-0.01	0.9252	0.9663	-7.434
441	0.06	0.5893	0.7828	-7.2647
442	-0.03	0.9105	0.9577	-7.4317
443	-0.06	0.8242	0.9111	-7.4097
444	0.06	0.7938	0.8954	-7.3983
445	-0.45	0.2275	0.5066	-6.568
446	0.1	0.7518	0.8736	-7.3794
447	0.01	0.954	0.9792	-7.4373
448	-0.04	0.8796	0.9436	-7.4255
449	-0.33	0.3881	0.6406	-6.9934
450	0.1	0.7115	0.8519	-7.3574
451	-8.11	0	0	11.9562
452	-1.98	0.0199	0.115	-3.456
453	-1.95	0.0055	0.0478	-2.4315
454	-3.3	0.0001	0.0042	2.0183
455	-1.25	0.002	0.0272	-1.7848
456	-1.79	0.0002	0.0064	0.6105
457	0.43	0.0418	0.1841	-4.9678
458	-0.52	0.1471	0.4023	-6.1824
459	-0.51	0.1417	0.3928	-6.1482
460	0.27	0.1885	0.4601	-6.405
461	-0.04	0.809	0.9023	-7.4043
462	0.34	0.2454	0.5242	-6.6321
463	0.42	0.06	0.23	-5.3272
464	-0.64	0.0122	0.0799	-3.7027
465	0	0.9841	0.9933	-7.439
466	0.05	0.5905	0.7837	-7.2659
467	-0.57	0.1487	0.4043	-6.1923
468	-0.52	0.4066	0.6568	-7.0269
469	-0.44	0.3597	0.621	-6.9371
470	-0.45	0.0406	0.182	-4.9388
471	-0.16	0.3821	0.6373	-6.982
472	-0.11	0.5336	0.7475	-7.2071
473	-0.13	0.4161	0.6638	-7.0434
474	-0.68	0.0285	0.1472	-4.5781
475	-0.64	0.0359	0.1692	-4.8128
476	0.28	0.5077	0.7312	-7.1765
477	0.16	0.6601	0.8268	-7.3234
478	0.59	0.0572	0.2244	-5.28
479	-0.09	0.498	0.724	-7.1643
480	-0.1	0.564	0.7699	-7.2399
481	0.12	0.2486	0.5267	-6.6428
482	0.03	0.7816	0.8905	-7.3932
483	0.19	0.2117	0.4857	-6.5061
484	0.12	0.411	0.6607	-7.0346
485	-0.06	0.7521	0.8736	-7.3795
486	-0.01	0.9684	0.9848	-7.4383
487	-0.31	0.1715	0.4366	-6.3212
488	-0.08	0.3807	0.6365	-6.9793
489	-0.04	0.6997	0.8476	-7.3501
490	-0.01	0.8824	0.9451	-7.4262
491	0.16	0.3813	0.6369	-6.9805
492	0.72	0.029	0.1492	-4.5989
493	-0.19	0.5849	0.7802	-7.2606
494	0.18	0.3338	0.6017	-6.8802
495	0.21	0.3604	0.6215	-6.9385
496	-0.05	0.7943	0.8954	-7.3985
497	0.01	0.9548	0.9797	-7.4374
498	-0.12	0.2817	0.558	-6.7457
499	-0.01	0.9169	0.9621	-7.4328
500	-0.14	0.5994	0.7905	-7.2741
501	-0.28	0.1403	0.3921	-6.1394
502	-3.38	0	0.0018	2.7648
503	-0.57	0.0368	0.171	-4.8396
504	-0.02	0.961	0.9825	-7.4379
505	-0.15	0.6209	0.8043	-7.2928
506	-2.04	0.0018	0.0257	-1.6797
507	-1.8	0.0037	0.0383	-2.4254
508	-3.49	0	0.0017	2.8626
509	-2.25	0	0.0019	2.8709
510	-2.31	0	0.0019	2.7853
511	-2.04	0	0.0001	7.6426
512	-1.8	0	0.0019	2.8302
513	-0.01	0.9643	0.9831	-7.4381
514	-1.02	0.0113	0.0764	-3.4514
515	-0.05	0.8075	0.902	-7.4037
516	3.56	0	0.0011	3.608
517	3.73	0	0.0004	5.0845
518	0.45	0.1889	0.4605	-6.4069
519	2.97	0.0002	0.0053	1.3967
520	2.37	0.0166	0.101	-3.2512
521	-0.08	0.7003	0.8477	-7.3505
522	0.24	0.6507	0.8196	-7.3164
523	-0.2	0.4562	0.6919	-7.1068
524	0.19	0.4978	0.724	-7.164
525	-0.04	0.6314	0.8116	-7.3015
526	-0.45	0.2736	0.55	-6.7221
527	-0.04	0.9272	0.9663	-7.4343
528	-0.25	0.5634	0.7698	-7.2393
529	-0.59	0.3253	0.5978	-6.8601
530	0.01	0.8833	0.9452	-7.4264
531	0.04	0.687	0.8421	-7.342
532	0.2	0.2539	0.53	-6.6603
533	-0.07	0.3808	0.6365	-6.9795
534	-0.48	0.3352	0.6018	-6.8834
535	-0.2	0.6376	0.8138	-7.3064
536	-0.2	0.5397	0.7517	-7.2141
537	-0.3	0.2305	0.5101	-6.5793
538	-0.32	0.1635	0.4239	-6.2786
539	0.12	0.217	0.4938	-6.5278
540	0.03	0.6955	0.8476	-7.3475
541	-0.08	0.3476	0.6097	-6.9113
542	-0.23	0.6433	0.8162	-7.3108
543	0.05	0.9128	0.9592	-7.4321
544	-0.11	0.7945	0.8954	-7.3986
545	-0.63	0.2014	0.4769	-6.4631
546	0.24	0.3416	0.6064	-6.8979
547	0.18	0.3498	0.6115	-6.916
548	0.19	0.5531	0.7586	-7.2286
549	-0.07	0.3873	0.6406	-6.9919
550	0	0.9974	0.9983	-7.4393
551	0.05	0.7131	0.8528	-7.3583
552	0.05	0.632	0.8116	-7.3019
553	-0.07	0.3873	0.6406	-6.9919
554	-0.47	0.0744	0.261	-5.5379
555	-1.02	0.0119	0.0793	-3.6758
556	-0.48	0.0333	0.1624	-4.7386
557	-0.26	0.0309	0.1556	-4.6616
558	3.62	0	0.0003	5.2245
559	0.28	0.0103	0.0716	-3.5184
560	-1.15	0.0173	0.1046	-4.0656
561	-0.01	0.9273	0.9663	-7.4343
562	-0.05	0.5313	0.7461	-7.2045
563	-0.08	0.6346	0.8122	-7.304
564	-0.41	0.2362	0.5147	-6.5999
565	-0.41	0.1825	0.4521	-6.3765
566	0.01	0.8955	0.9496	-7.4289
567	-0.13	0.4911	0.7202	-7.1554
568	-1.13	0.0557	0.2199	-5.2548
569	-0.86	0.0673	0.2458	-5.441
