ms1_peak_id,Resistantcells0003.mzXML,Resistantcells0010.mzXML,Resistantcells0017.mzXML,Resistantcells0024.mzXML,Wtcells0001.mzXML,Wtcells0008.mzXML,Wtcells0015.mzXML,Wtcells0022.mzXML
Group,Resistantcells,Resistantcells,Resistantcells,Resistantcells,WTcells,WTcells,WTcells,WTcells
38,100599.1563,116803.3594,90118.53125,130657.3984,80058.45313,108725.7969,90239.625,86558.64844
39,95302.42188,126844.8516,87751.97656,120412.5234,66705.17188,114164.6563,88720.78906,95694.44531
40,91520.10156,107600.9766,67502.97656,116279.6406,51469.05859,89891.64063,62571.21875,79579.14844
41,36553.89844,81824.14844,43529.02734,79365.32813,36651.64844,95166.0625,52176.27344,74682.26563
42,42529.46484,57426.70703,32552.97656,51571.30859,29890.69531,61654.53125,28764.00195,39934.86328
43,51536.17969,60457.08984,43641.81641,51986.01953,36292.41406,49322.39844,43512.55078,47870.67188
44,49376.38672,54230.91797,41919.09766,52311.64063,37048.19141,49708.12109,40296.99609,48174.61719
45,46685.96484,51189.36328,44743.43359,53267.35547,40263.02734,48668.75,43838.08203,44423.81641
46,33115.9375,51276.53516,27837.97266,53113.62891,23126.52344,46692.50391,22687.72852,35218.96484
47,27334.58789,45124.87891,32522.27539,47787.33203,31044.80859,51267.33203,34929.02734,46658.71875
48,23952.45508,43011.28516,23633.39063,47321.63281,28879.47461,50141.28125,25689.37305,37927.78516
49,34106.63281,49907.75,35221.125,48149.41797,26694.71484,48679.76953,29274.68555,39348.68359
50,30148.75781,42519.99609,29410.30469,46204.8125,21606.5957,43163.23828,34934.14453,33985
51,25457.19531,33199.76563,31549.5957,45071.58203,18016.96875,36594.71484,25165.75391,30338.31055
52,31974.875,44017.64063,30277.83203,40068.02734,25214.07422,40947.86328,25950.61523,34276.09375
53,38307.38672,42796.25391,32870.36719,41636.94141,29993.69531,35848.39844,33756.00391,36463.78906
54,25869.18359,38603.27344,22736.61914,31346.03125,16363.31934,29911.75977,19325.89453,25204.20117
55,23963.48828,34114.36719,24110.10352,35076.38672,18275.25391,35876.9375,18364.83008,27169.44141
56,26579.89844,33414.95703,27216.1875,34852.54688,19500.82813,35147.34766,21991.95508,28516.28906
57,26942.42969,32515.06445,24495.55078,34054.62109,23408.125,30914.79297,25993.97852,28006.00195
58,20191.33789,32923.45703,16137.92188,29728.65625,8358.261719,16800.22852,9672.220703,19238.54102
59,22847.68945,32245.48438,14673.85254,31786.73047,15663.64844,32810.09766,16534.54883,23749.94727
60,31801.79102,30054.94531,18364.625,31481.54297,16661.37695,31754.7207,17097.30469,25776.16211
61,20919.36719,31592.77344,18260.46289,24643.8457,17885.10938,25749.22461,20408.18359,20814.8418
62,22742.81836,31421.25,18883.68164,28366.7793,17637.70898,29236.7832,20728.76758,28399.62305
63,19127.40625,29255.74219,19235.94531,26025.80859,14802.46387,27355.7168,17899.0293,22899.20703
